"season","week","manager_1","owner_id_1","score_1","result_1","manager_2","owner_id_2","score_2","result_2"
"2024","4","Danthecan","517079980760150016","160.3","W","jackpotFTW","559132295743279104","94.4","L"
"2024","4","steeeeeeeeeve","1002342256092762112","153.94","W","LukeColbeck","626798676303499264","111.28","L"
"2024","4","PhillyBooBird","559133018459394048","118.22","L","etmoyer","559135658332524544","140.38","W"
"2024","4","ComradeCMP","559210519766609920","93.12","L","Pnewport","694581224353632256","113.76","W"
"2024","4","THESMASH","559193893851738112","99.7","L","Mummanator","560265743531290624","180.24","W"
"2024","5","Danthecan","517079980760150016","122.64","L","Mummanator","560265743531290624","131.22","W"
"2024","5","steeeeeeeeeve","1002342256092762112","96.68","L","etmoyer","559135658332524544","193.38","W"
"2024","5","PhillyBooBird","559133018459394048","153.0","W","ComradeCMP","559210519766609920","81.92","L"
"2024","5","LukeColbeck","626798676303499264","139.36","L","Pnewport","694581224353632256","146.14","W"
"2024","5","jackpotFTW","559132295743279104","155.54","W","THESMASH","559193893851738112","143.24","L"
"2024","6","Danthecan","517079980760150016","98.38","L","LukeColbeck","626798676303499264","117.32","W"
"2024","6","steeeeeeeeeve","1002342256092762112","73.82","L","THESMASH","559193893851738112","172.26","W"
"2024","6","PhillyBooBird","559133018459394048","138.66","L","Pnewport","694581224353632256","147.3","W"
"2024","6","ComradeCMP","559210519766609920","113.66","L","jackpotFTW","559132295743279104","150.1","W"
"2024","6","etmoyer","559135658332524544","105.62","L","Mummanator","560265743531290624","131.12","W"
"2024","7","Danthecan","517079980760150016","86.94","L","etmoyer","559135658332524544","115.54","W"
"2024","7","steeeeeeeeeve","1002342256092762112","104.18","L","PhillyBooBird","559133018459394048","157.06","W"
"2024","7","ComradeCMP","559210519766609920","38.64","L","Mummanator","560265743531290624","156.84","W"
"2024","7","LukeColbeck","626798676303499264","81.1","L","THESMASH","559193893851738112","103.14","W"
"2024","7","jackpotFTW","559132295743279104","116.22","L","Pnewport","694581224353632256","127.68","W"
"2024","8","Danthecan","517079980760150016","126.6","W","ComradeCMP","559210519766609920","105.74","L"
"2024","8","steeeeeeeeeve","1002342256092762112","127.7","L","jackpotFTW","559132295743279104","157.62","W"
"2024","8","PhillyBooBird","559133018459394048","166.74","W","THESMASH","559193893851738112","136.48","L"
"2024","8","etmoyer","559135658332524544","160.06","W","LukeColbeck","626798676303499264","77.46","L"
"2024","8","Pnewport","694581224353632256","165.1","W","Mummanator","560265743531290624","138.76","L"
"2024","9","Danthecan","517079980760150016","147.14","L","PhillyBooBird","559133018459394048","150.4","W"
"2024","9","steeeeeeeeeve","1002342256092762112","135.92","L","Mummanator","560265743531290624","153.2","W"
"2024","9","ComradeCMP","559210519766609920","98.36","W","LukeColbeck","626798676303499264","87.5","L"
"2024","9","etmoyer","559135658332524544","142.64","L","jackpotFTW","559132295743279104","150.6","W"
"2024","9","Pnewport","694581224353632256","77.46","L","THESMASH","559193893851738112","143.04","W"
"2024","10","Danthecan","517079980760150016","60.0","L","THESMASH","559193893851738112","124.74","W"
"2024","10","steeeeeeeeeve","1002342256092762112","90.74","L","Pnewport","694581224353632256","119.12","W"
"2024","10","PhillyBooBird","559133018459394048","139.28","W","LukeColbeck","626798676303499264","65.3","L"
"2024","10","ComradeCMP","559210519766609920","76.98","L","etmoyer","559135658332524544","197.02","W"
"2024","10","jackpotFTW","559132295743279104","117.5","L","Mummanator","560265743531290624","136.7","W"
"2024","11","Danthecan","517079980760150016","109.78","L","Pnewport","694581224353632256","190.76","W"
"2024","11","steeeeeeeeeve","1002342256092762112","91.74","W","ComradeCMP","559210519766609920","88.54","L"
"2024","11","PhillyBooBird","559133018459394048","168.14","L","Mummanator","560265743531290624","170.78","W"
"2024","11","etmoyer","559135658332524544","175.74","W","THESMASH","559193893851738112","105.84","L"
"2024","11","LukeColbeck","626798676303499264","124.94","L","jackpotFTW","559132295743279104","127.78","W"
"2024","12","Danthecan","517079980760150016","152.22","W","steeeeeeeeeve","1002342256092762112","104.3","L"
"2024","12","PhillyBooBird","559133018459394048","126.86","L","jackpotFTW","559132295743279104","140.66","W"
"2024","12","ComradeCMP","559210519766609920","104.3","L","THESMASH","559193893851738112","108.66","W"
"2024","12","etmoyer","559135658332524544","121.96","W","Pnewport","694581224353632256","120.28","L"
"2024","12","LukeColbeck","626798676303499264","107.62","L","Mummanator","560265743531290624","198.48","W"
"2024","13","Danthecan","517079980760150016","111.66","L","jackpotFTW","559132295743279104","125.12","W"
"2024","13","steeeeeeeeeve","1002342256092762112","107.4","L","LukeColbeck","626798676303499264","157.6","W"
"2024","13","PhillyBooBird","559133018459394048","138.22","W","etmoyer","559135658332524544","124.56","L"
"2024","13","ComradeCMP","559210519766609920","97.04","L","Pnewport","694581224353632256","140.56","W"
"2024","13","THESMASH","559193893851738112","133.64","L","Mummanator","560265743531290624","145.58","W"
"2024","14","Danthecan","517079980760150016","99.76","L","Mummanator","560265743531290624","121.76","W"
"2024","14","steeeeeeeeeve","1002342256092762112","129.18","L","etmoyer","559135658332524544","204.26","W"
"2024","14","PhillyBooBird","559133018459394048","143.62","W","ComradeCMP","559210519766609920","82.42","L"
"2024","14","LukeColbeck","626798676303499264","163.36","L","Pnewport","694581224353632256","166.3","W"
"2024","14","jackpotFTW","559132295743279104","154.38","W","THESMASH","559193893851738112","121.82","L"
"2023","1","Danthecan","517079980760150016","115.38","W","THESMASH","559193893851738112","100.34","L"
"2023","1","ekortman","559134002064789504","144.98","W","LukeColbeck","626798676303499264","143.84","L"
